A_c,stratum_gap,A_c_1,A_c_2,method,bet,allocation,stopping_time
0.5,0.0,0.5,0.5,lcbs,fixed,round_robin,400.0
0.5,0.0,0.5,0.5,lcbs,fixed,larger_means,400.0
0.5,0.0,0.5,0.5,lcbs,fixed,proportional_to_mart,
0.5,0.0,0.5,0.5,lcbs,agrapa,round_robin,400.0
0.5,0.0,0.5,0.5,lcbs,agrapa,larger_means,400.0
0.5,0.0,0.5,0.5,lcbs,agrapa,proportional_to_mart,
0.5,0.0,0.5,0.5,lcbs,smooth_predictable,round_robin,400.0
0.5,0.0,0.5,0.5,lcbs,smooth_predictable,larger_means,400.0
0.5,0.0,0.5,0.5,lcbs,smooth_predictable,proportional_to_mart,
0.5,0.0,0.5,0.5,ui-nnsm,fixed,round_robin,400.0
0.5,0.0,0.5,0.5,ui-nnsm,fixed,larger_means,400.0
0.5,0.0,0.5,0.5,ui-nnsm,fixed,proportional_to_mart,400.0
0.5,0.0,0.5,0.5,ui-nnsm,agrapa,round_robin,400.0
0.5,0.0,0.5,0.5,ui-nnsm,agrapa,larger_means,400.0
0.5,0.0,0.5,0.5,ui-nnsm,agrapa,proportional_to_mart,400.0
0.5,0.0,0.5,0.5,ui-nnsm,smooth_predictable,round_robin,400.0
0.5,0.0,0.5,0.5,ui-nnsm,smooth_predictable,larger_means,400.0
0.5,0.0,0.5,0.5,ui-nnsm,smooth_predictable,proportional_to_mart,400.0
0.5,0.1,0.45,0.55,lcbs,fixed,round_robin,400.0
0.5,0.1,0.45,0.55,lcbs,fixed,larger_means,400.0
0.5,0.1,0.45,0.55,lcbs,fixed,proportional_to_mart,
0.5,0.1,0.45,0.55,lcbs,agrapa,round_robin,400.0
0.5,0.1,0.45,0.55,lcbs,agrapa,larger_means,400.0
0.5,0.1,0.45,0.55,lcbs,agrapa,proportional_to_mart,
0.5,0.1,0.45,0.55,lcbs,smooth_predictable,round_robin,400.0
0.5,0.1,0.45,0.55,lcbs,smooth_predictable,larger_means,400.0
0.5,0.1,0.45,0.55,lcbs,smooth_predictable,proportional_to_mart,
0.5,0.1,0.45,0.55,ui-nnsm,fixed,round_robin,400.0
0.5,0.1,0.45,0.55,ui-nnsm,fixed,larger_means,400.0
0.5,0.1,0.45,0.55,ui-nnsm,fixed,proportional_to_mart,400.0
0.5,0.1,0.45,0.55,ui-nnsm,agrapa,round_robin,400.0
0.5,0.1,0.45,0.55,ui-nnsm,agrapa,larger_means,400.0
0.5,0.1,0.45,0.55,ui-nnsm,agrapa,proportional_to_mart,400.0
0.5,0.1,0.45,0.55,ui-nnsm,smooth_predictable,round_robin,400.0
0.5,0.1,0.45,0.55,ui-nnsm,smooth_predictable,larger_means,400.0
0.5,0.1,0.45,0.55,ui-nnsm,smooth_predictable,proportional_to_mart,400.0
0.5,0.5,0.25,0.75,lcbs,fixed,round_robin,400.0
0.5,0.5,0.25,0.75,lcbs,fixed,larger_means,400.0
0.5,0.5,0.25,0.75,lcbs,fixed,proportional_to_mart,
0.5,0.5,0.25,0.75,lcbs,agrapa,round_robin,400.0
0.5,0.5,0.25,0.75,lcbs,agrapa,larger_means,400.0
0.5,0.5,0.25,0.75,lcbs,agrapa,proportional_to_mart,
0.5,0.5,0.25,0.75,lcbs,smooth_predictable,round_robin,400.0
0.5,0.5,0.25,0.75,lcbs,smooth_predictable,larger_means,400.0
0.5,0.5,0.25,0.75,lcbs,smooth_predictable,proportional_to_mart,
0.5,0.5,0.25,0.75,ui-nnsm,fixed,round_robin,400.0
0.5,0.5,0.25,0.75,ui-nnsm,fixed,larger_means,400.0
0.5,0.5,0.25,0.75,ui-nnsm,fixed,proportional_to_mart,400.0
0.5,0.5,0.25,0.75,ui-nnsm,agrapa,round_robin,400.0
0.5,0.5,0.25,0.75,ui-nnsm,agrapa,larger_means,400.0
0.5,0.5,0.25,0.75,ui-nnsm,agrapa,proportional_to_mart,400.0
0.5,0.5,0.25,0.75,ui-nnsm,smooth_predictable,round_robin,400.0
0.5,0.5,0.25,0.75,ui-nnsm,smooth_predictable,larger_means,400.0
0.5,0.5,0.25,0.75,ui-nnsm,smooth_predictable,proportional_to_mart,400.0
0.51,0.0,0.51,0.51,lcbs,fixed,round_robin,400.0
0.51,0.0,0.51,0.51,lcbs,fixed,larger_means,400.0
0.51,0.0,0.51,0.51,lcbs,fixed,proportional_to_mart,
0.51,0.0,0.51,0.51,lcbs,agrapa,round_robin,400.0
0.51,0.0,0.51,0.51,lcbs,agrapa,larger_means,400.0
0.51,0.0,0.51,0.51,lcbs,agrapa,proportional_to_mart,
0.51,0.0,0.51,0.51,lcbs,smooth_predictable,round_robin,400.0
0.51,0.0,0.51,0.51,lcbs,smooth_predictable,larger_means,400.0
0.51,0.0,0.51,0.51,lcbs,smooth_predictable,proportional_to_mart,
0.51,0.0,0.51,0.51,ui-nnsm,fixed,round_robin,400.0
0.51,0.0,0.51,0.51,ui-nnsm,fixed,larger_means,400.0
0.51,0.0,0.51,0.51,ui-nnsm,fixed,proportional_to_mart,400.0
0.51,0.0,0.51,0.51,ui-nnsm,agrapa,round_robin,400.0
0.51,0.0,0.51,0.51,ui-nnsm,agrapa,larger_means,400.0
0.51,0.0,0.51,0.51,ui-nnsm,agrapa,proportional_to_mart,400.0
0.51,0.0,0.51,0.51,ui-nnsm,smooth_predictable,round_robin,400.0
0.51,0.0,0.51,0.51,ui-nnsm,smooth_predictable,larger_means,400.0
0.51,0.0,0.51,0.51,ui-nnsm,smooth_predictable,proportional_to_mart,400.0
0.51,0.1,0.46,0.56,lcbs,fixed,round_robin,400.0
0.51,0.1,0.46,0.56,lcbs,fixed,larger_means,400.0
0.51,0.1,0.46,0.56,lcbs,fixed,proportional_to_mart,
0.51,0.1,0.46,0.56,lcbs,agrapa,round_robin,400.0
0.51,0.1,0.46,0.56,lcbs,agrapa,larger_means,400.0
0.51,0.1,0.46,0.56,lcbs,agrapa,proportional_to_mart,
0.51,0.1,0.46,0.56,lcbs,smooth_predictable,round_robin,400.0
0.51,0.1,0.46,0.56,lcbs,smooth_predictable,larger_means,400.0
0.51,0.1,0.46,0.56,lcbs,smooth_predictable,proportional_to_mart,
0.51,0.1,0.46,0.56,ui-nnsm,fixed,round_robin,400.0
0.51,0.1,0.46,0.56,ui-nnsm,fixed,larger_means,400.0
0.51,0.1,0.46,0.56,ui-nnsm,fixed,proportional_to_mart,400.0
0.51,0.1,0.46,0.56,ui-nnsm,agrapa,round_robin,400.0
0.51,0.1,0.46,0.56,ui-nnsm,agrapa,larger_means,400.0
0.51,0.1,0.46,0.56,ui-nnsm,agrapa,proportional_to_mart,400.0
0.51,0.1,0.46,0.56,ui-nnsm,smooth_predictable,round_robin,400.0
0.51,0.1,0.46,0.56,ui-nnsm,smooth_predictable,larger_means,400.0
0.51,0.1,0.46,0.56,ui-nnsm,smooth_predictable,proportional_to_mart,400.0
0.51,0.5,0.26,0.76,lcbs,fixed,round_robin,400.0
0.51,0.5,0.26,0.76,lcbs,fixed,larger_means,400.0
0.51,0.5,0.26,0.76,lcbs,fixed,proportional_to_mart,
0.51,0.5,0.26,0.76,lcbs,agrapa,round_robin,400.0
0.51,0.5,0.26,0.76,lcbs,agrapa,larger_means,400.0
0.51,0.5,0.26,0.76,lcbs,agrapa,proportional_to_mart,
0.51,0.5,0.26,0.76,lcbs,smooth_predictable,round_robin,400.0
0.51,0.5,0.26,0.76,lcbs,smooth_predictable,larger_means,400.0
0.51,0.5,0.26,0.76,lcbs,smooth_predictable,proportional_to_mart,
0.51,0.5,0.26,0.76,ui-nnsm,fixed,round_robin,400.0
0.51,0.5,0.26,0.76,ui-nnsm,fixed,larger_means,400.0
0.51,0.5,0.26,0.76,ui-nnsm,fixed,proportional_to_mart,400.0
0.51,0.5,0.26,0.76,ui-nnsm,agrapa,round_robin,400.0
0.51,0.5,0.26,0.76,ui-nnsm,agrapa,larger_means,400.0
0.51,0.5,0.26,0.76,ui-nnsm,agrapa,proportional_to_mart,400.0
0.51,0.5,0.26,0.76,ui-nnsm,smooth_predictable,round_robin,400.0
0.51,0.5,0.26,0.76,ui-nnsm,smooth_predictable,larger_means,400.0
0.51,0.5,0.26,0.76,ui-nnsm,smooth_predictable,proportional_to_mart,400.0
0.53,0.0,0.53,0.53,lcbs,fixed,round_robin,400.0
0.53,0.0,0.53,0.53,lcbs,fixed,larger_means,400.0
0.53,0.0,0.53,0.53,lcbs,fixed,proportional_to_mart,
0.53,0.0,0.53,0.53,lcbs,agrapa,round_robin,400.0
0.53,0.0,0.53,0.53,lcbs,agrapa,larger_means,400.0
0.53,0.0,0.53,0.53,lcbs,agrapa,proportional_to_mart,
0.53,0.0,0.53,0.53,lcbs,smooth_predictable,round_robin,400.0
0.53,0.0,0.53,0.53,lcbs,smooth_predictable,larger_means,400.0
0.53,0.0,0.53,0.53,lcbs,smooth_predictable,proportional_to_mart,
0.53,0.0,0.53,0.53,ui-nnsm,fixed,round_robin,400.0
0.53,0.0,0.53,0.53,ui-nnsm,fixed,larger_means,400.0
0.53,0.0,0.53,0.53,ui-nnsm,fixed,proportional_to_mart,272.7
