A_c,stratum_gap,A_c_1,A_c_2,p_1_1,p_1_2,p_2_1,p_2_2,bet,expected_stop,90percentile_stop
0.51,0.0,0.51,0.51,0.0,0.02,0.0,0.002,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.02,0.0,0.01,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.02,0.0,0.01,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.02,0.0,0.01,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.02,0.002,0.0,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.02,0.002,0.0,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.02,0.002,0.0,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.02,0.002,0.002,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.02,0.002,0.002,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.02,0.002,0.002,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.02,0.002,0.01,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.02,0.002,0.01,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.02,0.002,0.01,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.02,0.01,0.0,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.02,0.01,0.0,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.02,0.01,0.0,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.02,0.01,0.002,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.02,0.01,0.002,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.02,0.01,0.002,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.02,0.01,0.01,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.02,0.01,0.01,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.02,0.01,0.01,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.05,0.0,0.0,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.05,0.0,0.0,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.05,0.0,0.0,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.05,0.0,0.002,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.05,0.0,0.002,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.05,0.0,0.002,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.05,0.0,0.01,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.05,0.0,0.01,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.05,0.0,0.01,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.05,0.002,0.0,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.05,0.002,0.0,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.05,0.002,0.0,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.05,0.002,0.002,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.05,0.002,0.002,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.05,0.002,0.002,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.05,0.002,0.01,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.05,0.002,0.01,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.05,0.002,0.01,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.05,0.01,0.0,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.05,0.01,0.0,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.05,0.01,0.0,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.05,0.01,0.002,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.05,0.01,0.002,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.05,0.01,0.002,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.05,0.01,0.01,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.05,0.01,0.01,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.0,0.05,0.01,0.01,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.0,0.0,0.0,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.0,0.0,0.0,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.0,0.0,0.0,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.0,0.0,0.002,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.0,0.0,0.002,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.0,0.0,0.002,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.0,0.0,0.01,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.0,0.0,0.01,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.0,0.0,0.01,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.0,0.002,0.0,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.0,0.002,0.0,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.0,0.002,0.0,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.0,0.002,0.002,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.0,0.002,0.002,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.0,0.002,0.002,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.0,0.002,0.01,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.0,0.002,0.01,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.0,0.002,0.01,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.0,0.01,0.0,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.0,0.01,0.0,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.0,0.01,0.0,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.0,0.01,0.002,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.0,0.01,0.002,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.0,0.01,0.002,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.0,0.01,0.01,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.0,0.01,0.01,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.0,0.01,0.01,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.01,0.0,0.0,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.01,0.0,0.0,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.01,0.0,0.0,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.01,0.0,0.002,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.01,0.0,0.002,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.01,0.0,0.002,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.01,0.0,0.01,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.01,0.0,0.01,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.01,0.0,0.01,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.01,0.002,0.0,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.01,0.002,0.0,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.01,0.002,0.0,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.01,0.002,0.002,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.01,0.002,0.002,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.01,0.002,0.002,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.01,0.002,0.01,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.01,0.002,0.01,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.01,0.002,0.01,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.01,0.01,0.0,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.01,0.01,0.0,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.01,0.01,0.0,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.01,0.01,0.002,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.01,0.01,0.002,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.01,0.01,0.002,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.01,0.01,0.01,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.01,0.01,0.01,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.01,0.01,0.01,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.02,0.0,0.0,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.02,0.0,0.0,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.02,0.0,0.0,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.02,0.0,0.002,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.02,0.0,0.002,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.02,0.0,0.002,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.02,0.0,0.01,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.02,0.0,0.01,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.02,0.0,0.01,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.02,0.002,0.0,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.02,0.002,0.0,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.02,0.002,0.0,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.02,0.002,0.002,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.02,0.002,0.002,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.02,0.002,0.002,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.02,0.002,0.01,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.02,0.002,0.01,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.02,0.002,0.01,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.02,0.01,0.0,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.02,0.01,0.0,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.02,0.01,0.0,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.02,0.01,0.002,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.02,0.01,0.002,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.02,0.01,0.002,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.02,0.01,0.01,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.02,0.01,0.01,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.02,0.01,0.01,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.05,0.0,0.0,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.05,0.0,0.0,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.05,0.0,0.0,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.05,0.0,0.002,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.05,0.0,0.002,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.05,0.0,0.002,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.05,0.0,0.01,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.05,0.0,0.01,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.05,0.0,0.01,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.05,0.002,0.0,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.05,0.002,0.0,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.05,0.002,0.0,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.05,0.002,0.002,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.05,0.002,0.002,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.05,0.002,0.002,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.05,0.002,0.01,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.05,0.002,0.01,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.05,0.002,0.01,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.05,0.01,0.0,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.05,0.01,0.0,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.05,0.01,0.0,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.05,0.01,0.002,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.05,0.01,0.002,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.05,0.01,0.002,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.05,0.01,0.01,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.05,0.01,0.01,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.01,0.05,0.01,0.01,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.0,0.0,0.0,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.0,0.0,0.0,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.0,0.0,0.0,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.0,0.0,0.002,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.0,0.0,0.002,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.0,0.0,0.002,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.0,0.0,0.01,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.0,0.0,0.01,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.0,0.0,0.01,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.0,0.002,0.0,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.0,0.002,0.0,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.0,0.002,0.0,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.0,0.002,0.002,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.0,0.002,0.002,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.0,0.002,0.002,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.0,0.002,0.01,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.0,0.002,0.01,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.0,0.002,0.01,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.0,0.01,0.0,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.0,0.01,0.0,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.0,0.01,0.0,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.0,0.01,0.002,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.0,0.01,0.002,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.0,0.01,0.002,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.0,0.01,0.01,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.0,0.01,0.01,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.0,0.01,0.01,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.01,0.0,0.0,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.01,0.0,0.0,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.01,0.0,0.0,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.01,0.0,0.002,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.01,0.0,0.002,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.01,0.0,0.002,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.01,0.0,0.01,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.01,0.0,0.01,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.01,0.0,0.01,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.01,0.002,0.0,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.01,0.002,0.0,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.01,0.002,0.0,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.01,0.002,0.002,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.01,0.002,0.002,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.01,0.002,0.002,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.01,0.002,0.01,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.01,0.002,0.01,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.01,0.002,0.01,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.01,0.01,0.0,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.01,0.01,0.0,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.01,0.01,0.0,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.01,0.01,0.002,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.01,0.01,0.002,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.01,0.01,0.002,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.01,0.01,0.01,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.01,0.01,0.01,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.01,0.01,0.01,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.02,0.0,0.0,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.02,0.0,0.0,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.02,0.0,0.0,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.02,0.0,0.002,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.02,0.0,0.002,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.02,0.0,0.002,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.02,0.0,0.01,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.02,0.0,0.01,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.02,0.0,0.01,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.02,0.002,0.0,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.02,0.002,0.0,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.02,0.002,0.0,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.02,0.002,0.002,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.02,0.002,0.002,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.02,0.002,0.002,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.02,0.002,0.01,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.02,0.002,0.01,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.02,0.002,0.01,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.02,0.01,0.0,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.02,0.01,0.0,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.02,0.01,0.0,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.02,0.01,0.002,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.02,0.01,0.002,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.02,0.01,0.002,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.02,0.01,0.01,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.02,0.01,0.01,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.02,0.01,0.01,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.05,0.0,0.0,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.05,0.0,0.0,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.05,0.0,0.0,smooth_predictable,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.05,0.0,0.002,fixed,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.05,0.0,0.002,agrapa,200.0,200.0
0.51,0.0,0.51,0.51,0.02,0.05,0.0,0.002,smooth_predictable,200.0,200.0
